plateNumber,plateState,plateCountry,plateType,domestic,yearOfRegistration,vehicleMake,vehicleModel,vehicleColor,vehicleClass,tollingMethod,hasTag,tagAgencyId,tagId,item_type,tag_type,mounting,tag_delivery_method,tag_alias_name,shippingAddress
UT 8187,FL,USA,COMMERCIAL,True,2020,Kia,Sport-age,Red,2 Axle,TAG,True,AGN907,TAG8918,INTEGRATED,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Carol,"38153 Brian Fall Apt. 598, North Jackland, UT 52112"
FL 6974,NY,USA,COMMERCIAL,False,2017,BMW,3 Series,Green,3 Axle,VIDEO,,,,,,,,,
KE 7544,NY,USA,PERSONAL,False,2022,Kia,Sport-age,Black,6-plus Axles,TAG,False,AGN174,TAG1252,LICENSE_PLATE_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Philip,"0419 Calderon Heights Apt. 164, Lake Heather, WI 22415"
IN 9941,PA,USA,COMMERCIAL,False,2005,Ford,Explorer,Green,2 Axle,TAG,False,AGN559,TAG6161,INTEGRATED,MOUNTED,YES,MAIL_TO_CUSTOMER,Lauren,"25469 Kevin Trace Suite 520, East Joe, OH 65436"
WY 4692,TX,USA,COMMERCIAL,True,2004,Ford,Explorer,Blue,2 Axle,TAG,False,AGN763,TAG3051,HARD_CASE_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,Kelli,"615 Jenna Row Apt. 111, South James, MS 26079"
MO 6699,NY,USA,PERSONAL,False,2011,Subaru	,Cross-trek,White,6-plus Axles,VIDEO,,,,,,,,,
MI 7322,AK,USA,PERSONAL,False,2019,Hyundai,Sonata,Black,3 Axle,TAG,False,AGN942,TAG4605,LICENSE_PLATE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Kathleen,"210 James Rapids Apt. 934, Hallbury, NM 91596"
TE 1761,TX,USA,COMMERCIAL,True,2000,Volkswagen,Pass-at,Red,6-plus Axles,TAG,False,AGN577,TAG5715,STICKER_TAG,STICKER,YES,HAND_TO_CUSTOMER,Erica,"20398 Castaneda Trace Apt. 833, East Victoriaport, MP 89314"
NE 7556,AK,USA,PERSONAL,True,2005,Lexus,GS,White,3 Axle,TAG,True,AGN811,TAG8224,HARD_CASE_TAG,STICKER,YES,HAND_TO_CUSTOMER,Nicholas,"4902 Julie Run, East Emilyview, NM 89875"
SO 9208,AL,USA,COMMERCIAL,True,2024,Toyota,Tacoma,Green,4 Axle,VIDEO,,,,,,,,,
MI 5123,UT,USA,COMMERCIAL,False,2019,Chevrolet,Silverado,Blue,2 Axle,TAG,True,AGN414,TAG5186,HARD_CASE_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,Paul,"260 Catherine Circle Apt. 289, Seanton, IL 59155"
MA 6910,MI,USA,PERSONAL,False,2008,Kia,Optima,Red,3 Axle,TAG,False,AGN214,TAG1216,STICKER_TAG,STICKER,NO,MAIL_TO_CUSTOMER,Sylvia,"853 Samuel Flats, South Zacharymouth, SD 32708"
NE 6366,UT,USA,COMMERCIAL,False,2008,Lexus,RX,White,6-plus Axles,TAG,False,AGN585,TAG2590,STICKER_TAG,STICKER,NO,MAIL_TO_CUSTOMER,Gabriella,"524 Nicole Ramp Apt. 450, Tamaraborough, ID 21165"
CO 8439,TN,USA,PERSONAL,True,2009,Chevrolet,Equinox,Red,2 Axle,VIDEO,,,,,,,,,
PE 1032,MA,USA,ELECTRIC,True,2000,Ford,Escape,Blue,3 Axle,TAG,True,AGN602,TAG4387,STICKER_TAG,STICKER,YES,MAIL_TO_CUSTOMER,Debra,"48197 Lopez Mews Apt. 108, Dwaynechester, NY 25142"
MI 9621,NC,USA,COMMERCIAL,True,2023,BMW,X3,Blue,5 Axle,TAG,True,AGN691,TAG8673,INTEGRATED,STICKER,NO,MAIL_TO_CUSTOMER,Jenna,"679 Derek Rapids, South Julia, MS 60840"
UT 1093,NV,USA,COMMERCIAL,True,2023,Toyota,Corolla,Green,2 Axle,TAG,True,AGN656,TAG6051,HARD_CASE_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Melanie,"4239 Crystal Walks Suite 639, Hendrickston, NY 69272"
NE 4372,TX,USA,ELECTRIC,False,2012,BMW,5 Series,Black,4 Axle,VIDEO,,,,,,,,,
CA 5955,IL,USA,PERSONAL,True,2008,Hyundai,Tucson,Red,6-plus Axles,TAG,True,AGN105,TAG6914,INTEGRATED,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Ashlee,"422 Martinez Island, Howellbury, NJ 15450"
WY 1801,UT,USA,PERSONAL,False,2022,Hyundai,Santa Fe,Blue,6-plus Axles,TAG,False,AGN178,TAG4633,INTEGRATED,MOUNTED,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Rebecca,"USNV Peterson, FPO AP 71140"
TE 1354,TN,USA,PERSONAL,False,2020,Toyota,Camry,White,6-plus Axles,TAG,True,AGN624,TAG2169,HARD_CASE_TAG,MOUNTED,YES,MAIL_TO_CUSTOMER,Vanessa,"325 Todd Mount Suite 593, Robinsonchester, WI 80103"
OH 7735,NC,USA,COMMERCIAL,False,2016,Kia,Sport-age,Black,5 Axle,VIDEO,,,,,,,,,
WI 2152,WA,USA,COMMERCIAL,True,2002,Lexus,RX,White,4 Axle,TAG,True,AGN216,TAG2326,INTEGRATED,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,John,"711 Becky Vista Suite 696, Evanstad, TX 05786"
NE 995,TX,USA,COMMERCIAL,False,2010,Hyundai,El-antra,Black,5 Axle,TAG,True,AGN747,TAG5378,HARD_CASE_TAG,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Janet,"1452 Angie Circle, Bennettberg, AZ 06622"
NE 5839,UT,USA,COMMERCIAL,False,2010,Subaru,Forester,White,5 Axle,TAG,False,AGN207,TAG9904,LICENSE_PLATE_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Alex,"792 Jose Terrace, North Andrew, AS 22861"
VE 3210,TX,USA,COMMERCIAL,False,2020,BMW,X3,Black,5 Axle,VIDEO,,,,,,,,,
MI 6710,NY,USA,ELECTRIC,False,2016,Subaru	,Forester,Red,4 Axle,TAG,True,AGN850,TAG7102,STICKER_TAG,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Alec,"1609 Rollins Locks Apt. 150, Cherylfort, MT 03813"
NE 5284,AZ,USA,COMMERCIAL,False,2009,Mercedes-Benz,E-Class,Red,6-plus Axles,TAG,True,AGN624,TAG6557,STICKER_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Samuel,"59222 Janet Mill, Nicholasville, GU 48285"
KA 605,AZ,USA,COMMERCIAL,False,2008,Lexus,GS,Black,3 Axle,TAG,True,AGN535,TAG9355,STICKER_TAG,STICKER,NO,MAIL_TO_CUSTOMER,Carrie,"USNV Lewis, FPO AE 72625"
NE 4549,VA,USA,COMMERCIAL,True,2011,Kia,Forte,Red,4 Axle,VIDEO,,,,,,,,,
WI 6638,NY,USA,PERSONAL,False,2005,Nissan,Al-tima,Blue,3 Axle,TAG,False,AGN461,TAG2833,HARD_CASE_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,Jennifer,"27367 Katherine Spur Suite 068, Moralesmouth, FL 74755"
MO 6923,NY,USA,COMMERCIAL,False,2000,Subaru,WRX,White,3 Axle,TAG,True,AGN652,TAG5223,INTEGRATED,STICKER,NO,MAIL_TO_CUSTOMER,Brandon,"042 Susan Square Suite 336, Mathismouth, FL 81292"
MI 3421,AZ,USA,COMMERCIAL,True,2023,Subaru,Outback,Black,5 Axle,TAG,True,AGN314,TAG6279,INTEGRATED,MOUNTED,YES,HAND_TO_CUSTOMER,April,"32011 Harper Lakes Suite 989, Dawnhaven, MH 27186"
NO 9168,VA,USA,PERSONAL,True,2022,Ford,Explorer,White,5 Axle,VIDEO,,,,,,,,,
AL 8815,CO,USA,PERSONAL,True,2019,Subaru,Ascent,Blue,6-plus Axles,TAG,True,AGN432,TAG8121,INTEGRATED,STICKER,NO,HAND_TO_CUSTOMER,Austin,"1636 Dixon Walks Apt. 451, West Peggy, AK 38472"
MI 5346,NY,USA,ELECTRIC,True,2004,Volkswagen,Golf,Blue,4 Axle,TAG,False,AGN610,TAG1523,INTEGRATED,MOUNTED,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Adam,"1028 Sanders Fort, North Aaron, NM 11769"
VI 3459,NY,USA,PERSONAL,False,2003,Lexus,RX,Red,2 Axle,TAG,True,AGN717,TAG1154,HARD_CASE_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Jennifer,"02477 Andrea Square, Smithfurt, MN 83163"
NE 8316,CO,USA,COMMERCIAL,True,2005,Honda,Accord,White,6-plus Axles,VIDEO,,,,,,,,,
VI 5339,AL,USA,ELECTRIC,False,2005,Subaru	,Im-pre-za,White,4 Axle,TAG,True,AGN181,TAG9329,HARD_CASE_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,William,"942 Martha Islands, Roymouth, OK 39840"
MA 3754,AL,USA,COMMERCIAL,False,2007,Tesla,Model X,White,5 Axle,TAG,True,AGN740,TAG5150,INTEGRATED,STICKER,YES,HAND_TO_CUSTOMER,Kathryn,"Unit 0483 Box 6431, DPO AA 54155"
MA 616,MA,USA,ELECTRIC,False,2023,Mercedes-Benz,GLE,Red,6-plus Axles,TAG,True,AGN901,TAG5652,STICKER_TAG,STICKER,YES,MAIL_TO_CUSTOMER,James,"5621 Brady Field, Wrightchester, VI 59119"
SO 8008,MD,USA,ELECTRIC,False,2003,Mercedes-Benz,S-Class,Green,4 Axle,VIDEO,,,,,,,,,
WY 2274,NY,USA,COMMERCIAL,False,2022,Honda,Civic,Blue,3 Axle,TAG,False,AGN164,TAG5706,STICKER_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,David,"520 Justin Coves, Rodriguezchester, IN 66528"
PE 4512,AL,USA,COMMERCIAL,False,2013,Nissan,Pathfinder,Green,4 Axle,TAG,True,AGN140,TAG5467,HARD_CASE_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Teresa,"75704 Jeremy Key, Kennedyfort, UT 77450"
MI 8176,CO,USA,ELECTRIC,True,2008,Mercedes-Benz,C-Class,White,4 Axle,TAG,False,AGN434,TAG4216,HARD_CASE_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Kevin,"7727 Pearson Expressway, West Maryhaven, TX 91883"
TE 3125,TX,USA,ELECTRIC,True,2011,Kia,Sport-age,White,4 Axle,VIDEO,,,,,,,,,
MO 5158,IL,USA,COMMERCIAL,False,2021,BMW,5 Series,Red,4 Axle,TAG,True,AGN788,TAG7264,STICKER_TAG,STICKER,YES,HAND_TO_CUSTOMER,Ricardo,"378 Deborah Bypass Apt. 534, Rodgersburgh, RI 45206"
VE 3061,CO,USA,ELECTRIC,False,2006,Chevrolet,Corvette,Green,6-plus Axles,TAG,True,AGN765,TAG3871,INTEGRATED,MOUNTED,NO,MAIL_TO_CUSTOMER,Jean,"54487 Robert Summit Apt. 412, Baileymouth, VA 29156"
VI 2947,MD,USA,ELECTRIC,False,2002,Audi,A4,Blue,6-plus Axles,TAG,False,AGN159,TAG7188,LICENSE_PLATE_TAG,STICKER,YES,MAIL_TO_CUSTOMER,Christina,"4517 Brittany Stravenue, South Michael, DC 18146"
MI 3368,NY,USA,COMMERCIAL,False,2001,Mercedes-Benz,S-Class,Blue,6-plus Axles,VIDEO,,,,,,,,,
ID 7854,MI,USA,PERSONAL,False,2022,Lexus,GS,Black,4 Axle,TAG,False,AGN353,TAG7609,INTEGRATED,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Angela,"2804 Palmer Freeway, West Natalieport, PR 01059"
WE 5196,PA,USA,COMMERCIAL,False,2022,Toyota,Camry,White,6-plus Axles,TAG,False,AGN802,TAG9237,INTEGRATED,STICKER,NO,MAIL_TO_CUSTOMER,Jimmy,"08626 Garcia Forest Apt. 960, Stevebury, WI 54601"
FL 9534,WA,USA,COMMERCIAL,True,2004,Hyundai,Sonata,Blue,5 Axle,TAG,False,AGN136,TAG8563,HARD_CASE_TAG,STICKER,YES,HAND_TO_CUSTOMER,Monica,"Unit 4027 Box 9929, DPO AP 40177"
KA 5810,WA,USA,ELECTRIC,False,2005,Toyota,Camry,Black,4 Axle,VIDEO,,,,,,,,,
KA 2332,GA,USA,COMMERCIAL,False,2023,Nissan,Sen-tra,Blue,2 Axle,TAG,True,AGN871,TAG3082,INTEGRATED,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Jessica,"6376 Alec Terrace Apt. 926, Davenportville, MP 04446"
WE 2763,VA,USA,PERSONAL,False,2024,Audi,A4,Red,3 Axle,TAG,False,AGN859,TAG9710,LICENSE_PLATE_TAG,STICKER,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Antonio,"USCGC West, FPO AP 69783"
VI 6520,PA,USA,PERSONAL,False,2006,Subaru	,Forester,Red,5 Axle,TAG,False,AGN440,TAG5515,INTEGRATED,MOUNTED,YES,HAND_TO_CUSTOMER,Mercedes,"55937 Jennifer Station, Randolphberg, KS 46329"
WY 8816,CO,USA,ELECTRIC,False,2007,Audi,A4,Green,5 Axle,VIDEO,,,,,,,,,
IN 759,UT,USA,COMMERCIAL,True,2005,Kia,Sport-age,Green,4 Axle,TAG,True,AGN855,TAG5102,STICKER_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,Pamela,"08848 Jennifer Manors, North Lauraburgh, IL 08393"
CA 1443,FL,USA,ELECTRIC,False,2010,Mercedes-Benz,S-Class,Red,2 Axle,TAG,False,AGN238,TAG7342,LICENSE_PLATE_TAG,STICKER,YES,MAIL_TO_CUSTOMER,Sean,"Unit 5984 Box 8072, DPO AA 97349"
WA 113,MA,USA,PERSONAL,False,2002,Kia,Forte,Black,4 Axle,TAG,False,AGN242,TAG4084,HARD_CASE_TAG,STICKER,NO,MAIL_TO_CUSTOMER,Anne,"8826 William Shoal Suite 582, East Scottbury, CT 02774"
SO 3350,VA,USA,PERSONAL,True,2024,Nissan,Rogue,Green,3 Axle,VIDEO,,,,,,,,,
VI 8218,MA,USA,PERSONAL,False,2016,Ford,F-150,Red,5 Axle,TAG,True,AGN792,TAG9369,HARD_CASE_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,Larry,"84286 Lynch Flats, Port Tracichester, NE 44397"
NO 9271,NY,USA,COMMERCIAL,True,2002,Honda,HR-V,Blue,3 Axle,TAG,True,AGN527,TAG8947,INTEGRATED,MOUNTED,NO,HAND_TO_CUSTOMER,Stacey,"7277 Emily Creek, Edwardsburgh, CA 54747"
NO 6920,AZ,USA,ELECTRIC,False,2009,Mercedes-Benz,S-Class,Black,5 Axle,TAG,True,AGN559,TAG7243,STICKER_TAG,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Kelli,"0965 Thomas Land Suite 504, Port Hannah, PW 56719"
NE 7378,GA,USA,ELECTRIC,False,2020,Volkswagen,Jetta,Black,4 Axle,VIDEO,,,,,,,,,
NO 6791,AK,USA,COMMERCIAL,True,2000,Chevrolet,Silverado,Blue,6-plus Axles,TAG,True,AGN292,TAG1959,LICENSE_PLATE_TAG,STICKER,NO,MAIL_TO_CUSTOMER,Gina,"26945 Williams Cliffs, Justinstad, MN 24958"
CO 9521,TN,USA,COMMERCIAL,True,2009,Honda,Accord,Green,3 Axle,TAG,False,AGN605,TAG6172,HARD_CASE_TAG,MOUNTED,YES,CUSTOMER_ALREADY_HAS_TRANSPONDER,Julie,"115 Vang Station, Juliefort, VI 34437"
CO 8403,MD,USA,PERSONAL,False,2013,Subaru	,Im-pre-za,Blue,4 Axle,TAG,False,AGN220,TAG2379,STICKER_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Diane,"8916 Lloyd Harbor Suite 856, Lake Rebeccaberg, MO 77901"
VI 2941,NJ,USA,ELECTRIC,True,2006,Nissan,Sen-tra,Red,4 Axle,VIDEO,,,,,,,,,
KA 7658,CA,USA,ELECTRIC,False,2004,Chevrolet, Malibu,White,3 Axle,TAG,False,AGN866,TAG7001,STICKER_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Patrick,"73734 Hudson Stream, Port Jacquelineborough, DC 41463"
FL 3678,GA,USA,ELECTRIC,False,2019,Subaru	,Outback,Green,4 Axle,TAG,True,AGN824,TAG4745,INTEGRATED,STICKER,NO,MAIL_TO_CUSTOMER,Pamela,"55294 Catherine Springs, Port Kendrastad, SD 49257"
OH 2517,CO,USA,COMMERCIAL,False,2012,Honda,CR-V,Red,2 Axle,TAG,True,AGN788,TAG8278,STICKER_TAG,STICKER,YES,HAND_TO_CUSTOMER,Juan,"74054 Wilson Views Apt. 838, East Adamshire, GU 80832"
OK 7407,AL,USA,PERSONAL,True,2005,Mercedes-Benz,GLE,Green,2 Axle,VIDEO,,,,,,,,,
PE 1681,CA,USA,PERSONAL,True,2020,Chevrolet,Silverado,Red,2 Axle,TAG,False,AGN516,TAG3964,STICKER_TAG,MOUNTED,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Amanda,"767 Webb Junctions Suite 305, Lindsayfurt, ID 87678"
VE 555,PA,USA,PERSONAL,True,2006,Tesla,Model S,White,6-plus Axles,TAG,False,AGN997,TAG3012,HARD_CASE_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Edward,"8936 Alvarez Radial, North Amber, VT 42698"
AR 1058,NC,USA,COMMERCIAL,False,2007,Ford,Escape,White,4 Axle,TAG,True,AGN320,TAG4293,STICKER_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Brittany,"Unit 9375 Box 3456, DPO AA 27131"
VE 4775,VA,USA,COMMERCIAL,False,2008,Honda,HR-V,Blue,4 Axle,VIDEO,,,,,,,,,
NE 3666,NY,USA,PERSONAL,False,2004,Kia,Optima,White,6-plus Axles,TAG,True,AGN231,TAG7919,STICKER_TAG,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Joshua,"483 Dawson Coves Suite 385, East Jessica, KS 01158"
OH 7775,TX,USA,ELECTRIC,True,2018,Hyundai,Sonata,Green,6-plus Axles,TAG,False,AGN870,TAG5359,INTEGRATED,MOUNTED,YES,MAIL_TO_CUSTOMER,David,"033 Stewart Street Suite 801, New Jamesbury, IN 50684"
OR 3785,NV,USA,COMMERCIAL,False,2008,Nissan,Rogue,Red,6-plus Axles,TAG,True,AGN284,TAG5747,LICENSE_PLATE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,Deborah,"2813 Adams Brook Apt. 061, East Nicole, OR 05892"
MI 2562,MD,USA,PERSONAL,False,2004,Ford,Escape,Black,3 Axle,VIDEO,,,,,,,,,
MO 1709,OH,USA,ELECTRIC,True,2011,BMW,3 Series,Blue,6-plus Axles,TAG,True,AGN901,TAG2060,INTEGRATED,STICKER,YES,HAND_TO_CUSTOMER,Stacy,"320 Jones Manor Apt. 943, Angelamouth, IN 75494"
FL 9389,MA,USA,PERSONAL,True,2004,Chevrolet, Malibu,Green,4 Axle,TAG,False,AGN564,TAG6613,LICENSE_PLATE_TAG,MOUNTED,NO,MAIL_TO_CUSTOMER,Sydney,"3618 Harry Way, New Michael, NE 65381"
NE 6995,CO,USA,PERSONAL,False,2014,Lexus,ES,Green,6-plus Axles,TAG,False,AGN158,TAG4481,INTEGRATED,STICKER,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Katherine,"88054 Choi Neck, Lake Michaelstad, VA 24960"
CO 1178,AZ,USA,PERSONAL,False,2023,Nissan,Rogue,Green,6-plus Axles,VIDEO,,,,,,,,,
AR 8366,OR,USA,COMMERCIAL,False,2013,Ford,F-150,Black,4 Axle,TAG,False,AGN718,TAG7112,INTEGRATED,MOUNTED,NO,CUSTOMER_ALREADY_HAS_TRANSPONDER,Eric,"942 Kristen Valley, West Michelle, HI 27564"
WE 9782,GA,USA,PERSONAL,True,2000,Volkswagen,Pass-at,Red,4 Axle,TAG,True,AGN879,TAG3997,INTEGRATED,MOUNTED,YES,MAIL_TO_CUSTOMER,Rachael,"7872 Taylor Radial, Royton, AK 15285"
OK 4369,AL,USA,ELECTRIC,True,2016,Kia,Sport-age,Red,3 Axle,TAG,True,AGN924,TAG9562,STICKER_TAG,MOUNTED,YES,HAND_TO_CUSTOMER,Bethany,"76816 Katie Path Suite 336, Hodgesland, MA 58731"
VI 7561,OR,USA,ELECTRIC,True,2001,Lexus,RX,Blue,3 Axle,VIDEO,,,,,,,,,
HA 4935,AL,USA,ELECTRIC,False,2015,Volkswagen,Jetta,White,6-plus Axles,TAG,True,AGN486,TAG8648,STICKER_TAG,STICKER,NO,MAIL_TO_CUSTOMER,Alexa,"106 Carter Harbors, Lake Barry, SC 58958"
AL 8374,GA,USA,ELECTRIC,True,2007,Mercedes-Benz,GLE,Green,4 Axle,TAG,True,AGN125,TAG3028,LICENSE_PLATE_TAG,STICKER,YES,MAIL_TO_CUSTOMER,Tiffany,"2867 Jackson Lock Apt. 227, West Deborah, KY 00948"
VE 2900,NC,USA,ELECTRIC,False,2000,Audi,Q5,White,6-plus Axles,TAG,False,AGN772,TAG8894,LICENSE_PLATE_TAG,STICKER,YES,MAIL_TO_CUSTOMER,Jessica,"5254 Kyle Glen Suite 387, Lake David, ND 19553"
VI 933,PA,USA,COMMERCIAL,False,2001,Honda,CR-V,White,6-plus Axles,VIDEO,,,,,,,,,
MO 7217,NJ,USA,PERSONAL,False,2003,Subaru	,Forester,Green,4 Axle,TAG,False,AGN154,TAG7869,LICENSE_PLATE_TAG,STICKER,YES,HAND_TO_CUSTOMER,Jeffrey,"1448 Norman Flat Apt. 869, East Judithmouth, ID 58775"
WE 4878,WA,USA,COMMERCIAL,True,2018,Hyundai,Santa Fe,Blue,3 Axle,TAG,False,AGN263,TAG9540,LICENSE_PLATE_TAG,MOUNTED,NO,HAND_TO_CUSTOMER,John,"8161 Cynthia Key, Bakerland, WV 75193"
NE 3689,TX,USA,PERSONAL,False,2017,BMW,X5,Red,6-plus Axles,TAG,True,AGN850,TAG3514,HARD_CASE_TAG,STICKER,YES,HAND_TO_CUSTOMER,Stephanie,"046 Roberts View Apt. 834, Collierville, UT 81041"
FL 2266,AZ,USA,PERSONAL,False,2019,Volkswagen,Golf,Blue,6-plus Axles,VIDEO,,,,,,,,,
